Hole      Core-Sec.-Int.     Depth      Bio.sil.     Age
BDP-96-2   GC-1      11       0.11       13.1       11.4
BDP-96-2   GC-1      13       0.13       15.7       11.9
BDP-96-2   GC-1      15       0.15       13.5       12.3
BDP-96-2   GC-1      17       0.17        7.7       12.8
BDP-96-2   GC-1      21       0.21        8.8       13.7
BDP-96-2   GC-1      23       0.23        4.5       14.2
BDP-96-2   GC-1      25       0.25        3.2       14.7
BDP-96-2   GC-1      27       0.27        2.2       15.2
BDP-96-2   GC-1      29       0.29        2.2       15.6
BDP-96-2   GC-1      31       0.31        2.3       16.1
BDP-96-2   GC-1      33       0.33        2.3       16.6
BDP-96-2   GC-1      35       0.35        2.7       17.1
BDP-96-2   GC-1      37       0.37        2.4       17.5
BDP-96-2   GC-1      39       0.39        2.4       18.0
BDP-96-2   GC-1      41       0.41        2.3       18.5
BDP-96-2   GC-1      43       0.43        2.1       19.0
BDP-96-2   GC-1      45       0.45        2.6       19.4
BDP-96-2   GC-1      47       0.47        2.1       19.9
BDP-96-2   GC-1      49       0.49        2.3       20.4
BDP-96-2   GC-1      51       0.51        2.1       20.8
BDP-96-2   GC-1      53       0.53        2.6       21.3
BDP-96-2   GC-1      55       0.55        2.5       21.8
BDP-96-2   GC-1      57       0.57        2.0       22.3
BDP-96-2   GC-1      59       0.59        3.7       22.7
BDP-96-2   GC-1      61       0.61        4.0       23.2
BDP-96-2   GC-1      63       0.63        2.8       23.7
BDP-96-2   GC-1      65       0.65        3.6       24.2
BDP-96-2   GC-1      67       0.67        3.9       24.6
BDP-96-2   GC-1      69       0.69        3.6       25.1
BDP-96-2   GC-1      73       0.73        3.6       26.1
BDP-96-2   GC-1      75       0.75        2.8       26.5
BDP-96-2   GC-1      77       0.77        2.3       27.0
BDP-96-2   GC-1      79       0.79        2.8       27.5
BDP-96-2   GC-1      81       0.81        2.6       28.0
BDP-96-2   GC-1      83       0.83        2.2       28.4
BDP-96-2   GC-1      85       0.85        2.6       28.9
BDP-96-2   GC-1      87       0.87        2.8       29.4
BDP-96-2   GC-1      89       0.89        2.3       29.8
BDP-96-2   GC-1      91       0.91        2.8       30.3
BDP-96-2   GC-1      93       0.93        2.8       30.8
BDP-96-2   GC-1      95       0.95        3.0       31.3
BDP-96-2   GC-1      97       0.97        2.5       31.7
BDP-96-2   GC-1     101       1.01        2.8       32.7
BDP-96-2   GC-1     103       1.03        3.0       33.2
BDP-96-2   GC-1     105       1.05        3.0       33.6
BDP-96-2   GC-1     107       1.07        3.0       34.1
BDP-96-2   GC-1     109       1.09        2.8       34.6
BDP-96-2      1   1  19       1.13        2.2       35.5
BDP-96-2      1   1  23       1.17        2.1       36.5
BDP-96-2      1   1  25       1.19        2.3       36.9
BDP-96-2      1   1  27       1.21        2.2       37.4
BDP-96-2      1   1  29       1.23        2.1       37.9
BDP-96-2      1   1  31       1.25        2.3       38.4
BDP-96-2      1   1  33       1.27        2.1       38.8
BDP-96-2      1   1  35       1.29        2.4       39.3
BDP-96-2      1   1  37       1.31        2.4       39.8
BDP-96-2      1   1  39       1.33        2.4       40.3
BDP-96-2      1   1  41       1.35        2.6       40.7
BDP-96-2      1   1  43       1.37        2.5       41.2
BDP-96-2      1   1  45       1.39        2.7       41.7
BDP-96-2      1   1  47       1.41        2.7       42.2
BDP-96-2      1   1  49       1.43        2.9       42.6
BDP-96-2      1   1  53       1.47        3.1       43.6
BDP-96-2      1   1  55       1.49        3.1       44.0
BDP-96-2      1   1  57       1.51        3.0       44.5
BDP-96-2      1   1  59       1.53        3.1       45.0
BDP-96-2      1   1  61       1.55        3.8       45.5
BDP-96-2      1   1  63       1.57        3.9       45.9
BDP-96-2      1   1  65       1.59        3.9       46.4
BDP-96-2      1   1  67       1.61        4.3       46.9
BDP-96-2      1   1  69       1.63        4.3       47.4
BDP-96-2      1   1  71       1.65        3.3       47.8
BDP-96-2      1   1  73       1.67        3.2       48.3
BDP-96-2      1   1  75       1.69        3.4       48.8
BDP-96-2      1   1  77       1.71        3.3       49.3
BDP-96-2      1   1  79       1.73        3.8       49.7
BDP-96-2      1   1  81       1.75        4.4       50.2
BDP-96-2      1   1  83       1.77        4.1       50.7
BDP-96-2      1   1  85       1.79        3.5       51.2
BDP-96-2      1   1  87       1.81        3.4       51.6
BDP-96-2      1   1  89       1.83        3.6       52.1
BDP-96-2      1   1  93       1.87        3.9       53.0
BDP-96-2      1   1  95       1.89        3.9       53.5
BDP-96-2      1   1  97       1.91        3.2       54.0
BDP-96-2      1   1  99       1.93        3.0       54.5
BDP-96-2      1   1 107       2.01        2.7       56.4
BDP-96-2      1   1 109       2.03        2.8       56.9
BDP-96-2      1   1 111       2.05        2.9       57.4
BDP-96-2      1   1 113       2.07        2.7       57.8
BDP-96-2      1   1 115       2.09        2.8       58.3
BDP-96-2      1   1 117       2.11        2.6       58.8
BDP-96-2      1   1 119       2.13        2.9       59.3
BDP-96-2      1   1 123       2.17        2.7       60.2
BDP-96-2      1   1 125       2.19        2.8       60.7
BDP-96-2      1   1 127       2.21        2.7       61.2
BDP-96-2      1   1 129       2.23        2.7       61.7
BDP-96-2      1   1 131       2.25        2.7       62.2
BDP-96-2      1   1 133       2.27        2.7       62.6
BDP-96-2      1   1 135       2.29        2.7       63.1
BDP-96-2      1   1 137       2.31        2.7       63.6
BDP-96-2      1   1 139       2.33        2.7       64.1
BDP-96-2      1   1 143       2.37        2.7       65.0
BDP-96-2      1   1 145       2.39        2.8       65.5
BDP-96-2      1   1 147       2.41        2.9       66.0
BDP-96-2      1   1 149       2.43        2.6       66.5
BDP-96-2      1   1 151       2.45        2.7       67.0
BDP-96-2      1   1 153       2.47        2.8       67.4
BDP-96-2      1   1 155       2.49        2.7       67.9
BDP-96-2      1   1 157       2.51        2.6       68.4
BDP-96-2      1   1 159       2.53        2.7       68.9
BDP-96-2      1   1 161       2.55        2.6       69.4
