"Age","Picea.sect..Eupicea","P..s.g.Haplo.T","Larix","Betula","Alnus","Salix","Poaceae","Cyperaceae","Artemisia","Ericales","Cphae","Papae","Ranae","Tha","Sax","Lyc.a.T","Sel.r","Sph"
1.5,0,8.1,0,33.2,36.8,0.8,9.2,4.9,3.2,0.8,0.8,0.8,0.3,0,0,0.3,1.9,2.7
2.27,0,7.2,0,25.2,37.2,0.6,12.9,7.2,2.1,3,0,0.3,0.3,0,0,0,2.4,1.8
2.62,0,16.1,0,12.4,38.7,0.6,13.3,2.3,5.6,1.1,2.8,2,0,0.3,0.3,0.8,4.5,2.8
3.14,0,12.6,0,21,38.9,1,10.1,8.9,2.7,1.7,0,0.5,0.2,0,0.7,0,1.7,1.5
3.46,0,7.7,0,24.6,43.8,0.8,7.9,5.8,4.2,1.5,0.2,1,0.2,0,0,0.2,0.8,1.7
3.65,0,11.5,0,12.4,35.1,0.3,24.2,3.4,3.1,0.3,0.9,2.5,0,0.3,0,1.5,6.2,8.7
3.93,0,9.8,0,19.2,47.7,0.2,11.5,4.2,0.5,2,0.5,2,0,0,0,1,5.4,4.7
4.22,0,7.9,0,15.8,51,0,11.4,4.7,3.8,0.9,0.9,1.8,0,0,0,2.1,2.9,4.4
5.93,0,1.6,0,18.6,57.9,0.3,9.8,7.9,1.9,0.5,0,0.3,0,0.3,0.3,0.8,2.2,4.6
6.64,0,0,0,35.8,52.9,0.3,5.1,3.1,0.8,0.5,0,0.3,0,0.5,0,0.3,1.3,2
7.36,0,0.2,0,32.8,59.8,0.3,3.9,1.9,0.2,0,0.3,0.3,0,0,0,0.2,0.8,2.7
8.07,0,0,0,39.7,54,0.2,3.3,0.7,0.7,0,0,0.2,0.4,0,0,0,0.7,2.2
8.78,0,0,0,31.3,59.3,0.2,5.3,2,0.2,0.2,0.2,0.4,0,0,0,0.4,0.2,6.9
9.07,0,0.2,0,27.3,56.7,0.2,10,2.7,0.2,0.2,0.5,0.5,0,0,0,0.7,1.6,5
9.5,0,0,0,23,49.5,0,19.7,3.8,1.1,0,1.4,0,0.3,0.3,0,0.3,2.5,7.1
10.21,0,0,0,21.2,37.6,2.1,26.3,2.1,3.3,0.6,1.5,2.1,0.6,0,0,0.3,6.3,9
10.92,0,0.3,0,12.5,11.9,0.6,43.4,6.8,7.7,1,7.7,2.9,0,0.3,0.3,0.6,16.4,4.8
11.64,0,0,0,31.2,2.9,0.3,44.8,6.5,2.9,1.9,3.6,1.9,0,1.9,0,0,11.4,5.2
12.16,0,0,0,11.9,5.2,1.1,52.8,3.6,7.2,1.4,5.2,3.6,0.3,1.4,0.3,0,23.5,11
12.67,0,0.5,0,27.4,55.7,0.2,9.7,2.1,2.1,1.2,0.2,0,0,0.5,0,0.9,1.2,7.7
12.83,0,0.4,0,30.1,59.3,0.2,6.1,1.9,0.6,0,0,0.6,0.2,0,0,0.6,1.1,4.8
